timestamp,bot_on,player
52184,1.0,5
52185,1.0,5
52186,1.0,5
52187,1.0,5
52188,1.0,5
52189,1.0,5
52190,1.0,5
52191,1.0,5
52192,1.0,5
52193,1.0,5
52194,1.0,5
52195,1.0,5
52196,1.0,5
52197,1.0,5
52198,1.0,5
52199,1.0,5
52200,1.0,5
52201,1.0,5
52202,1.0,5
52203,1.0,5
52204,1.0,5
52205,1.0,5
52206,1.0,5
52207,1.0,5
52208,1.0,5
52209,1.0,5
52210,1.0,5
52211,1.0,5
52212,1.0,5
52213,1.0,5
52214,1.0,5
52215,1.0,5
52216,1.0,5
52217,1.0,5
52218,1.0,5
52219,1.0,5
52220,1.0,5
52221,1.0,5
52222,1.0,5
52223,1.0,5
52224,1.0,5
52225,1.0,5
52226,1.0,5
52227,1.0,5
52228,1.0,5
52229,1.0,5
52230,1.0,5
52231,1.0,5
52232,1.0,5
52233,1.0,5
52234,1.0,5
52235,1.0,5
52236,1.0,5
52237,1.0,5
52238,1.0,5
52239,1.0,5
52240,1.0,5
52241,1.0,5
52242,1.0,5
52243,1.0,5
52244,1.0,5
52245,1.0,5
52246,1.0,5
52247,1.0,5
52248,1.0,5
52249,1.0,5
52250,1.0,5
52251,1.0,5
52252,1.0,5
52253,1.0,5
52254,1.0,5
52255,1.0,5
52256,1.0,5
52257,1.0,5
52258,1.0,5
52259,1.0,5
52260,1.0,5
52261,1.0,5
52262,1.0,5
52263,1.0,5
52264,1.0,5
52265,1.0,5
52266,1.0,5
52267,1.0,5
52268,1.0,5
52269,1.0,5
52270,1.0,5
52271,1.0,5
52272,1.0,5
52273,1.0,5
52274,1.0,5
52275,1.0,5
52276,1.0,5
52277,1.0,5
52278,1.0,5
52279,1.0,5
52280,1.0,5
52281,1.0,5
52282,1.0,5
52283,1.0,5
52284,1.0,5
52285,1.0,5
52286,1.0,5
52287,1.0,5
52288,1.0,5
52289,1.0,5
52290,1.0,5
52291,1.0,5
52292,1.0,5
52293,1.0,5
52294,1.0,5
52295,1.0,5
52296,1.0,5
52297,1.0,5
52298,1.0,5
52299,1.0,5
52300,1.0,5
52301,1.0,5
52302,1.0,5
52303,1.0,5
52304,1.0,5
52305,1.0,5
52306,1.0,5
52307,1.0,5
52308,1.0,5
52309,1.0,5
52310,1.0,5
52311,1.0,5
52312,1.0,5
52313,1.0,5
52314,1.0,5
52315,1.0,5
52316,1.0,5
52317,1.0,5
52318,1.0,5
52319,1.0,5
52320,1.0,5
52321,1.0,5
52322,1.0,5
52323,1.0,5
52324,1.0,5
52325,1.0,5
52326,1.0,5
52327,1.0,5
52328,1.0,5
52329,1.0,5
52330,1.0,5
52331,1.0,5
52332,1.0,5
52333,1.0,5
52334,1.0,5
52335,1.0,5
52336,1.0,5
52337,1.0,5
52338,1.0,5
52339,1.0,5
52340,1.0,5
52341,1.0,5
52342,1.0,5
52343,1.0,5
52344,1.0,5
52345,1.0,5
52346,1.0,5
52347,1.0,5
52348,1.0,5
52349,1.0,5
52350,1.0,5
52351,1.0,5
52352,1.0,5
52353,1.0,5
52354,1.0,5
52355,1.0,5
52356,1.0,5
52357,1.0,5
52358,1.0,5
52359,1.0,5
52360,1.0,5
52361,1.0,5
52362,1.0,5
52363,1.0,5
52364,1.0,5
52365,1.0,5
52366,1.0,5
52367,1.0,5
52368,1.0,5
52369,1.0,5
52370,1.0,5
52371,1.0,5
52372,1.0,5
52373,1.0,5
52374,1.0,5
52375,1.0,5
52376,1.0,5
52377,1.0,5
52378,1.0,5
52379,1.0,5
52380,1.0,5
52381,1.0,5
52382,1.0,5
52383,1.0,5
52384,1.0,5
52385,1.0,5
52386,1.0,5
52387,1.0,5
52388,1.0,5
52389,1.0,5
52390,1.0,5
52391,1.0,5
52392,1.0,5
52393,1.0,5
52394,1.0,5
52395,1.0,5
52396,1.0,5
52397,1.0,5
52398,1.0,5
52399,1.0,5
52400,1.0,5
52401,1.0,5
52402,1.0,5
52403,1.0,5
52404,1.0,5
52405,1.0,5
52406,1.0,5
52407,1.0,5
52408,1.0,5
52409,1.0,5
52410,1.0,5
52411,1.0,5
52412,1.0,5
52413,1.0,5
52414,1.0,5
52415,1.0,5
52416,1.0,5
52417,1.0,5
52418,1.0,5
52419,1.0,5
52420,1.0,5
52421,1.0,5
52422,1.0,5
52423,1.0,5
52424,1.0,5
52425,1.0,5
52426,1.0,5
52427,1.0,5
52428,1.0,5
52429,1.0,5
52430,1.0,5
52431,1.0,5
52432,1.0,5
52433,1.0,5
52434,1.0,5
52435,1.0,5
52436,1.0,5
52437,1.0,5
52438,1.0,5
52439,1.0,5
52440,1.0,5
52441,1.0,5
52442,1.0,5
